UserID,Target
1,B00B40LKPO
2,B00BQYVQWU
3,B00EUV2BSE
4,B007U1QX4O
5,B0088UXLSW
6,B006GYLL7K
7,B005GDW766
8,B00913CZW8
9,B000UJW8D8
10,B0042D69WY
11,B005BEKUFK
12,B005T7X88K
13,B00D0F4VJI
14,B005J49GU2
15,B001D7E0WS
16,B000056JCY
17,B004GCJMHU
18,B003ZUXQVW
19,B00B59PVOA
20,B004071ZJ4
21,B0002OT00U
22,B000324Y7U
23,B002VUCBC2
24,B005XHHLD4
25,B007A2ZSZ8
26,B0036WSX2Q
27,B002BSGXFA
28,B000VXLBAY
29,B0028K2RME
30,B001D475FU
31,B0010WAXN6
32,B004WPKWNO
33,B002QZ64T8
34,B003D8HH0W
35,B009F98SSS
36,B0012AII9M
37,B000N9H4SE
38,B00FKXYY1I
39,B007K1EH8S
40,B00CF6TT2W
41,B000S9RF4M
42,B00HTYFPDC
43,B009YSYCZS
44,B0011URFRE
45,B00AB27CSK
46,B000P007FI
47,B0007CS4EU
48,B005BWXJ8W
49,B005IV7BGW
50,B00208KCUS
51,B001AO2RQU
52,B002M77N22
53,B000GE6W2K
54,B00EI7DHQK
55,B0018OHCLC
56,B00FXTIMJE
57,B006UDLXFM
58,B002WB2G8Y
59,B0010PW47Q
60,B0018FGDFC
61,B00FAVNIGM
62,B00E60MSM8
63,B0013NB70A
64,B00BDCNSWQ
65,B004FV6734
66,B000BW51UQ
67,B00AHVR708
68,B007JVI94M
69,B00D3TPGAO
70,B00B1M2Q5I
71,B0039H02OU
72,B00I2IA638
73,B0032FOORA
74,B006DNLNOK
75,B000COY136
76,B004HO587A
77,B006UDLXGQ
78,B006SFUCV8
79,B00AH8J448
80,B004NRNSXM
81,B0053YVD90
82,B002RSMLEQ
83,B000HEBA12
84,B0016KV73W
85,B0011ECP9S
86,B004ECJWK4
87,B000W5R0B0
88,B00AMN28IW
89,B003U5UDXG
90,B00ARASMZ8
91,B0028IDXDS
92,B002R84806
93,B001QGKX9U
94,B0031B5CEE
95,B004044LD4
96,B006QSDLMY
97,B00563XRYM
98,B007D462KI
99,B004NONY8E
100,B006Y3S838
101,B0037W6NZO
102,B00B7M7CMO
103,B008KG5R6I
104,B002GZ68UI
105,B002F9MUM0
106,B0045I6IA4
107,B005HP6RVE
108,B007QBEUA2
109,B00508MV7C
110,B001IYQ7QS
111,B004GCJMLG
112,B006LKWH68
113,B002LARFQ4
114,B005OOKOK8
115,B004VDXCJ8
116,B00B5CBIBW
117,B000FGG8TG
118,B0017VM2NY
119,B0085V8TU4
120,B007D1NKK6
121,B004HMQPJ2
122,B005VM62QS
123,B004V8VQKK
124,B004HWXCJS
125,B000M0IWLC
126,B00925WMEQ
127,B000O3GCFU
128,B00A4B35HU
129,B00913CZW8
130,B008K3YVW2
131,B003807VGK
132,B00A0ID900
133,B00AQE6Z6I
134,B003FGWA8G
135,B000GXCBP8
136,B001R1I44U
137,B005MLLPNS
138,B00029TCP8
139,B004P1IW64
140,B006P05SHO
141,B007CTPWXW
142,B0009UBSFC
143,B009S4NMDG
144,B00AZWDM1W
145,B007LXSLXW
146,B0092FYON8
147,B005ASKQ42
148,B000K53UEI
149,B00HPQT9MC
150,B0057ECYS0
151,B006ZBNE4M
152,B0083BQ0EI
153,B000XP96VQ
154,B000ZYM8TW
155,B002LGISRS
156,B0018JWAF0
157,B007M4JKBW
158,B003FGWA8G
159,B005UV0UU4
160,B000GJIE4E
161,B0032AMM9M
162,B002OOWAGW
163,B00064MULM
164,B0077M41Z4
165,B00CYRYUXU
166,B001DVRTEA
167,B00CXH2M2W
168,B008ZB5E2K
169,B0032BEFPK
170,B000O1VMXE
171,B004IAT0BS
172,B002LARFK0
173,B0040GJ0UG
174,B001IJ4N00
175,B00BHK0GYW
176,B001P0739A
177,B004OR1E1E
178,B006WMO4Q6
179,B0009MASHO
180,B0039VCRPI
181,B004AP9Y9E
182,B0037NXP18
183,B0031VLRYI
184,B002J4U8L6
185,B00H0DH2KG
186,B007OQP6A2
187,B003VKPDVW
188,B004SIAEYC
189,B003U6HCGQ
190,B002C1ABMW
191,B000BIZ87Q
192,B002J4U8P2
193,B005C9ODSY
194,B00E3RKC1I
195,B005BWXJ8W
196,B002T5Q01C
197,B0054YZDWC
198,B001U9OUYC
199,B004GJXMA6
200,B0043D2A9O
201,B00440CZTQ
202,B003VNKLHA
203,B000FT7NU6
204,B003YVHXAW
205,B004IEBU5I
206,B001LF3YQK
207,B001R5TJ8G
208,B0037W6NZO
209,B00A0ID900
210,B007NG5UF4
211,B000FT7NU6
212,B006T899QI
213,B0040JZ2RS
214,B00F2MQ258
215,B0067GKGFU
216,B001PTGPXQ
217,B00AA7O4CS
218,B000136O8S
219,B004V8VQC8
220,B000GWWA8C
221,B002YQS9TW
